ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1019	"ENSG00000116691.6"	"MIIP"	chr1	+	12089279	12089951	12089279	12089338	12089821	12089951	1019	77,75	62,119	52,34	83,55	197	99	0.192806190885	1.0	0.384,0.241	0.239,0.237	0.075
101	"ENSG00000162650.11"	"ATXN7L2"	chr1	+	110031468	110032750	110031468	110031722	110032551	110032750	101	16,7	4,2	9,5	5,3	197	99	0.269967177013	1.0	0.668,0.638	0.475,0.456	0.188
1024	"ENSG00000166436.11"	"TRIM66"	chr11	-	8645905	8646775	8645905	8646098	8646259	8646775	1024	3,5	2,2	5,4	3,2	197	99	0.898294171116	1.0	0.43,0.557	0.456,0.501	0.015
1027	"ENSG00000090857.9"	"PDPR"	chr16	+	70162686	70163025	70162686	70162768	70162861	70163025	1027	2,3	27,23	1,1	25,17	191	99	0.638517228073	1.0	0.037,0.063	0.02,0.03	0.025
1029	"ENSG00000100722.14"	"ZC3H14"	chr14	+	89075610	89076147	89075610	89075747	89076070	89076147	1029	146,125	4,1	129,94	5,2	197	99	0.408869398504	1.0	0.948,0.984	0.928,0.959	0.022
102	"ENSG00000100429.13"	"HDAC10"	chr22	-	50684726	50685164	50684726	50684805	50685107	50685164	102	9,11	39,21	10,6	28,16	197	99	0.857899692919	1.0	0.104,0.208	0.152,0.159	0.001
1030	"ENSG00000100722.14"	"ZC3H14"	chr14	+	89075610	89076147	89075610	89075747	89076055	89076147	1030	17,15	95,92	26,18	81,55	197	99	0.0220618010657	1.0	0.083,0.076	0.139,0.141	-0.061
1031	"ENSG00000100722.14"	"ZC3H14"	chr14	+	89075610	89076147	89075610	89075747	89076058	89076147	1031	109,111	58,34	105,76	48,34	197	99	0.700324540658	1.0	0.486,0.621	0.524,0.529	0.027
1033	"ENSG00000074755.10"	"ZZEF1"	chr17	-	3919616	3920874	3919616	3919760	3920870	3920874	1033	1,2	0,1	1,1	0,0	197	99	1	1.0	1.0,0.501	1.0,1.0	-0.25
1034	"ENSG00000126768.8"	"TIMM17B"	chrX	-	48751182	48751508	48751182	48751293	48751379	48751508	1034	10,16	359,346	15,10	284,210	184	99	0.283373135164	1.0	0.015,0.024	0.028,0.025	-0.007
1035	"ENSG00000143630.5"	"HCN3"	chr1	+	155253764	155254548	155253764	155253926	155254329	155254548	1035	13,13	0,0	10,7	1,1	197	99	1	1.0	1.0,1.0	0.834,0.779	0.194
1036	"ENSG00000143630.5"	"HCN3"	chr1	+	155253764	155254548	155253764	155253926	155254462	155254548	1036	10,9	1,0	3,3	0,0	197	99	1	1.0	0.834,1.0	1.0,1.0	-0.083
1037	"ENSG00000169607.8"	"CKAP2L"	chr2	-	113513553	113514791	113513553	113513711	113514469	113514791	1037	76,110	1,2	68,51	1,1	197	99	0.800615433957	1.0	0.974,0.965	0.972,0.962	0.003
1039	"ENSG00000151093.3"	"OXSM"	chr3	+	25832480	25833488	25832480	25833187	25833436	25833488	1039	79,78	0,0	49,40	1,0	197	99	0.29344431166	1.0	1.0,1.0	0.961,1.0	0.02
1040	"ENSG00000151093.3"	"OXSM"	chr3	+	25832480	25833488	25832480	25832806	25833260	25833488	1040	102,69	0,7	76,63	4,3	197	99	0.7455234003	1.0	1.0,0.832	0.905,0.913	0.007
1041	"ENSG00000164877.14"	"MICALL2"	chr7	-	1476377	1477244	1476377	1476492	1477170	1477244	1041	53,45	42,45	47,26	42,28	197	99	0.757920382819	1.0	0.388,0.334	0.36,0.318	0.022
1043	"ENSG00000164877.14"	"MICALL2"	chr7	-	1477732	1477989	1477732	1477856	1477924	1477989	1043	21,26	50,45	24,15	43,30	166	99	0.768795653376	1.0	0.2,0.256	0.25,0.23	-0.012
1045	"ENSG00000164877.14"	"MICALL2"	chr7	-	1480226	1482120	1480226	1480320	1481827	1482120	1045	142,159	44,80	135,92	58,41	197	99	0.719559054405	1.0	0.619,0.5	0.539,0.53	0.025
1047	"ENSG00000119760.11"	"SUPT7L"	chr2	-	27883850	27885148	27883850	27884022	27885045	27885148	1047	204,197	5,3	228,169	4,3	197	99	0.840197177737	1.0	0.953,0.971	0.966,0.966	-0.004
1048	"ENSG00000119760.11"	"SUPT7L"	chr2	-	27883850	27885148	27883850	27884065	27885045	27885148	1048	219,67	1,0	184,168	0,0	197	99	0.647011902382	1.0	0.991,1.0	1.0,1.0	-0.004
1049	"ENSG00000119760.11"	"SUPT7L"	chr2	-	27883850	27885148	27883850	27884468	27885045	27885148	1049	81,62	15,15	74,55	10,7	197	99	0.194692991165	1.0	0.731,0.675	0.788,0.798	-0.09
1050	"ENSG00000119760.11"	"SUPT7L"	chr2	-	27883850	27885148	27883850	27884255	27885045	27885148	1050	170,110	139,125	145,106	135,89	197	99	0.680775623755	1.0	0.381,0.307	0.351,0.374	-0.019
1051	"ENSG00000166710.13"	"B2M"	chr15	+	45007620	45008554	45007620	45007899	45008526	45008554	1051	28,24	726,1031	25,15	845,609	197	99	0.781414560404	1.0	0.019,0.012	0.015,0.012	0.002
1053	"ENSG00000175826.7"	"CTDNEP1"	chr17	-	7146909	7147564	7146909	7147270	7147507	7147564	1053	280,297	4,22	253,189	8,5	197	99	0.337014126067	1.0	0.972,0.872	0.941,0.95	-0.024
1055	"ENSG00000255508.3"	"MIR3654"	chr11	-	62340055	62342380	62340055	62340214	62342148	62342380	1055	15,20	1,2	13,9	2,2	197	99	0.399917346569	1.0	0.883,0.834	0.766,0.693	0.129
1059	"ENSG00000133275.11"	"CSNK1G2"	chr19	+	1978303	1978510	1978303	1978344	1978440	1978510	1059	1,3	25,25	1,1	22,13	194	99	0.843796110356	1.0	0.02,0.058	0.023,0.038	0.009
105	"ENSG00000100429.13"	"HDAC10"	chr22	-	50684103	50684521	50684103	50684256	50684338	50684521	105	4,9	7,15	7,5	9,5	180	99	0.505830452468	1.0	0.239,0.248	0.3,0.355	-0.084
1060	"ENSG00000133275.11"	"CSNK1G2"	chr19	+	1978857	1979247	1978857	1979092	1979161	1979247	1060	5,4	93,109	7,4	87,60	167	99	0.271809306975	1.0	0.031,0.021	0.046,0.038	-0.016
1061	"ENSG00000234769.4"	"WASH4P"	chr16	-	64084	65633	64084	64720	65480	65633	1061	2,0	1,0	1,1	1,1	197	99	1	1.0	0.501,NA	0.334,0.334	0.167
1062	"ENSG00000234769.4"	"WASH4P"	chr16	-	66915	67427	66915	67051	67290	67427	1062	64,27	5,7	48,29	4,3	197	99	0.532582554772	1.0	0.865,0.66	0.858,0.829	-0.081
1063	"ENSG00000234769.4"	"WASH4P"	chr16	-	66915	67427	66915	67051	67277	67427	1063	50,0	1,0	14,14	0,0	197	99	1	1.0	0.962,NA	1.0,1.0	-0.038
1064	"ENSG00000234769.4"	"WASH4P"	chr16	-	64084	64720	64084	64511	64651	64720	1064	2,0	6,0	1,1	3,1	197	99	1	1.0	0.143,NA	0.143,0.334	-0.096
1066	"ENSG00000066777.4"	"ARFGEF1"	chr8	-	68255398	68255912	68255398	68255571	68255744	68255912	1066	12,4	3,0	7,6	1,1	197	99	0.853720501731	1.0	0.668,1.0	0.779,0.751	0.069
1068	"ENSG00000169371.9"	"SNUPN"	chr15	-	75893131	75893559	75893131	75893376	75893478	75893559	1068	7,5	0,0	7,5	1,0	197	99	1	1.0	1.0,1.0	0.779,1.0	0.111
1069	"ENSG00000169371.9"	"SNUPN"	chr15	-	75893131	75893559	75893131	75893231	75893478	75893559	1069	10,8	0,0	8,6	2,2	197	99	1	1.0	1.0,1.0	0.668,0.601	0.365
106	"ENSG00000100429.13"	"HDAC10"	chr22	-	50686653	50686901	50686653	50686721	50686794	50686901	106	6,7	27,26	8,6	23,15	171	99	0.360109284656	1.0	0.114,0.135	0.168,0.188	-0.053
1071	"ENSG00000128191.9"	"DGCR8"	chr22	+	20077191	20077781	20077191	20077366	20077498	20077781	1071	250,220	10,8	230,170	14,10	197	99	0.188988923014	1.0	0.926,0.933	0.892,0.895	0.036
1072	"ENSG00000128191.9"	"DGCR8"	chr22	+	20077191	20077781	20077191	20077334	20077498	20077781	1072	253,229	73,55	252,186	63,46	197	99	0.73000256736	1.0	0.635,0.677	0.668,0.67	-0.013
1075	"ENSG00000156313.8"	"RPGR"	chrX	-	38146346	38147294	38146346	38146498	38147113	38147294	1075	4,0	37,14	3,3	18,14	197	99	0.207168147365	1.0	0.052,0.0	0.077,0.097	-0.061
1077	"ENSG00000172432.14"	"GTPBP2"	chr6	-	43592624	43593297	43592624	43592799	43593099	43593297	1077	316,308	244,189	304,211	269,164	197	99	0.16483954753	1.0	0.394,0.45	0.362,0.393	0.045
1078	"ENSG00000172432.14"	"GTPBP2"	chr6	-	43588226	43589904	43588226	43589527	43589739	43589904	1078	67,87	286,326	68,50	291,238	197	99	0.492107840208	1.0	0.105,0.118	0.105,0.095	0.011
1079	"ENSG00000172432.14"	"GTPBP2"	chr6	-	43592624	43593297	43592624	43592768	43593099	43593297	1079	714,550	0,1	696,506	3,2	197	99	1	1.0	1.0,0.996	0.991,0.992	0.006
107	"ENSG00000100429.13"	"HDAC10"	chr22	-	50689199	50689814	50689199	50689334	50689402	50689814	107	6,5	1,1	6,3	4,2	166	99	0.230574628188	1.0	0.782,0.749	0.472,0.472	0.294
1080	"ENSG00000172432.14"	"GTPBP2"	chr6	-	43592624	43593297	43592624	43592717	43593099	43593297	1080	699,758	2,0	680,472	2,1	197	99	1	1.0	0.994,1.0	0.994,0.996	0.002
1081	"ENSG00000172432.14"	"GTPBP2"	chr6	-	43588226	43589527	43588226	43589253	43589497	43589527	1081	341,354	5,6	359,294	5,4	197	99	0.804925297916	1.0	0.972,0.967	0.973,0.974	-0.004
1082	"ENSG00000094880.6"	"CDC23"	chr5	-	137527550	137528077	137527550	137527626	137527957	137528077	1082	5,5	103,65	4,4	85,63	197	99	0.907496976437	1.0	0.024,0.037	0.023,0.031	0.003
1083	"ENSG00000094880.6"	"CDC23"	chr5	-	137525358	137525607	137525358	137525441	137525516	137525607	1083	4,0	49,25	4,4	33,40	173	99	0.358902552344	1.0	0.045,0.0	0.065,0.054	-0.037
1084	"ENSG00000084207.11"	"GSTP1"	chr11	+	67351604	67352712	67351604	67351640	67352608	67352712	1084	94,78	0,0	44,30	1,0	197	99	0.184093746208	1.0	1.0,1.0	0.957,1.0	0.022
1086	"ENSG00000165819.7"	"METTL3"	chr14	-	21971315	21971972	21971315	21971720	21971806	21971972	1086	5,0	59,78	3,2	55,48	184	99	0.61422636125	1.0	0.044,0.0	0.029,0.022	-0.004
1087	"ENSG00000165819.7"	"METTL3"	chr14	-	21967168	21967744	21967168	21967281	21967635	21967744	1087	190,199	3,0	198,157	3,2	197	99	0.478476318192	1.0	0.97,1.0	0.971,0.975	0.012
108	"ENSG00000100429.13"	"HDAC10"	chr22	-	50687123	50687360	50687123	50687180	50687259	50687360	108	10,4	10,13	1,2	4,7	177	99	0.817166665178	1.0	0.359,0.147	0.123,0.138	0.122
1090	"ENSG00000165819.7"	"METTL3"	chr14	-	21971315	21971720	21971315	21971434	21971648	21971720	1090	181,187	3,8	186,154	3,2	197	99	0.26291742731	1.0	0.968,0.922	0.969,0.975	-0.027
1092	"ENSG00000102103.11"	"PQBP1"	chrX	+	48759509	48760072	48759509	48759794	48760008	48760072	1092	27,23	181,194	34,20	160,122	197	99	0.126301944931	1.0	0.07,0.056	0.096,0.076	-0.023
1093	"ENSG00000102103.11"	"PQBP1"	chrX	+	48759509	48760361	48759509	48760072	48760204	48760361	1093	12,16	179,186	22,11	160,120	197	99	0.139376879766	1.0	0.033,0.041	0.065,0.044	-0.017
1094	"ENSG00000102103.11"	"PQBP1"	chrX	+	48755538	48755859	48755538	48755629	48755774	48755859	1094	20,19	6,4	22,16	3,2	197	99	0.338850910565	1.0	0.626,0.705	0.787,0.801	-0.129
1095	"ENSG00000102103.11"	"PQBP1"	chrX	+	48759509	48760072	48759509	48759661	48760008	48760072	1095	502,453	2,3	472,382	3,3	197	99	0.651358186222	1.0	0.992,0.987	0.988,0.985	0.003
1096	"ENSG00000172531.10"	"PPP1CA"	chr11	-	67166192	67166634	67166192	67166327	67166410	67166634	1096	0,0	291,316	4,1	268,224	181	99	1	1.0	0.0,0.0	0.008,0.002	-0.005
1097	"ENSG00000177666.11"	"PNPLA2"	chr11	+	823693	824130	823693	823855	823997	824130	1097	2,3	61,101	7,4	74,46	197	99	0.0600401056819	1.0	0.016,0.015	0.045,0.042	-0.028
1099	"ENSG00000149136.3"	"SSRP1"	chr11	-	57097764	57098401	57097764	57097903	57098328	57098401	1099	6,4	900,989	8,5	918,810	197	99	1	1.0	0.003,0.002	0.004,0.003	-0.001
109	"ENSG00000100429.13"	"HDAC10"	chr22	-	50685107	50685395	50685107	50685164	50685303	50685395	109	10,4	4,8	6,4	5,4	197	99	0.860982790525	1.0	0.557,0.201	0.376,0.334	0.024
10	"ENSG00000145191.7"	"EIF2B5"	chr3	+	183860839	183862012	183860839	183860930	183861886	183862012	10	40,43	0,0	41,28	0,1	197	99	1	1.0	1.0,1.0	1.0,0.934	0.033
1100	"ENSG00000149136.3"	"SSRP1"	chr11	-	57100098	57101014	57100098	57100329	57100908	57101014	1100	7,14	0,2	2,2	0,0	197	99	1	1.0	1.0,0.779	1.0,1.0	-0.111
1101	"ENSG00000149136.3"	"SSRP1"	chr11	-	57095770	57097612	57095770	57095900	57097566	57097612	1101	13,26	1379,1214	15,10	1214,1091	197	99	0.925248663064	1.0	0.005,0.011	0.006,0.005	0.003
1102	"ENSG00000149136.3"	"SSRP1"	chr11	-	57094176	57094988	57094176	57094363	57094899	57094988	1102	25,24	492,561	25,15	473,393	197	99	0.954074812451	1.0	0.025,0.021	0.026,0.019	0.001
1104	"ENSG00000124313.8"	"IQSEC2"	chrX	-	53295510	53296246	53295510	53295946	53296150	53296246	1104	65,37	0,0	29,24	1,0	197	99	1	1.0	1.0,1.0	0.936,1.0	0.032
1108	"ENSG00000110497.10"	"AMBRA1"	chr11	-	46563494	46564948	46563494	46564531	46564801	46564948	1108	17,20	13,11	18,12	12,8	197	99	0.939987223163	1.0	0.397,0.477	0.43,0.43	0.007
1110	"ENSG00000111877.13"	"MCM9"	chr6	-	119238725	119243251	119238725	119238926	119243169	119243251	1110	0,0	3,10	1,0	8,7	197	99	1	1.0	0.0,0.0	0.059,0.0	-0.029
1111	"ENSG00000100764.9"	"PSMC1"	chr14	+	90735740	90736696	90735740	90735892	90736541	90736696	1111	11,6	234,224	9,5	213,181	197	99	0.967147153653	1.0	0.023,0.013	0.021,0.014	0.0
1112	"ENSG00000135451.8"	"TROAP"	chr12	+	49723927	49725190	49723927	49724356	49725026	49725190	1112	61,101	0,1	2,3	0,0	197	99	1	1.0	1.0,0.981	1.0,1.0	-0.01
1113	"ENSG00000135451.8"	"TROAP"	chr12	+	49723927	49725190	49723927	49724726	49724996	49725190	1113	80,88	70,84	74,51	81,47	197	99	0.596730391348	1.0	0.365,0.345	0.315,0.353	0.021
1114	"ENSG00000135451.8"	"TROAP"	chr12	+	49723927	49725190	49723927	49724356	49724996	49725190	1114	90,91	0,0	79,56	1,1	197	99	0.261936193489	1.0	1.0,1.0	0.975,0.966	0.03
1115	"ENSG00000135451.8"	"TROAP"	chr12	+	49723927	49724726	49723927	49724356	49724443	49724726	1115	73,98	3,4	62,47	3,2	185	99	0.755657197311	1.0	0.929,0.929	0.917,0.926	0.008
1116	"ENSG00000135451.8"	"TROAP"	chr12	+	49717627	49718163	49717627	49717820	49717949	49718163	1116	1,28	0,1	9,9	0,0	197	99	1	1.0	1.0,0.934	1.0,1.0	-0.033
1117	"ENSG00000138035.10"	"PNPT1"	chr2	-	55871771	55872567	55871771	55871855	55872483	55872567	1117	24,25	162,127	17,11	128,115	197	99	0.173805184141	1.0	0.069,0.09	0.063,0.046	0.025
1119	"ENSG00000138035.10"	"PNPT1"	chr2	-	55907846	55908053	55907846	55907894	55907989	55908053	1119	0,2	18,25	1,1	21,17	193	99	0.905258120005	1.0	0.0,0.039	0.024,0.029	-0.007
1120	"ENSG00000160007.13"	"ARHGAP35"	chr19	+	47491245	47492932	47491245	47491323	47492800	47492932	1120	0,0	51,11	1,0	24,21	197	99	0.405243852817	1.0	0.0,0.0	0.021,0.0	-0.011
1121	"ENSG00000267278.1"	"MAP3K14-AS1"	chr17	+	43344479	43344857	43344479	43344695	43344782	43344857	1121	1,9	0,3	8,6	1,1	185	99	0.591737833492	1.0	1.0,0.616	0.811,0.763	0.021
1122	"ENSG00000198818.5"	"SFT2D1"	chr6	-	166736344	166738083	166736344	166736533	166738024	166738083	1122	7,50	0,0	37,27	2,1	197	99	0.703595201807	1.0	1.0,1.0	0.903,0.931	0.083
1123	"ENSG00000198818.5"	"SFT2D1"	chr6	-	166736344	166738083	166736344	166736374	166738024	166738083	1123	36,31	64,58	25,16	57,41	197	99	0.324316789813	1.0	0.22,0.212	0.181,0.164	0.044
1127	"ENSG00000156983.11"	"BRPF1"	chr3	+	9787256	9787614	9787256	9787393	9787495	9787614	1127	21,21	35,28	20,14	33,23	197	99	0.777482452512	1.0	0.232,0.274	0.233,0.234	0.019
1129	"ENSG00000167302.5"	"ENTHD2"	chr17	-	79210779	79211259	79210779	79210871	79211186	79211259	1129	3,9	31,18	5,3	20,17	197	99	0.7966098712	1.0	0.046,0.201	0.112,0.081	0.027
1130	"ENSG00000177646.13"	"ACAD9"	chr3	+	128628186	128628992	128628186	128628264	128628863	128628992	1130	16,10	9,17	10,8	12,10	197	99	0.690954416746	1.0	0.472,0.228	0.295,0.287	0.059
1131	"ENSG00000177646.13"	"ACAD9"	chr3	+	128628186	128628992	128628186	128628264	128628761	128628992	1131	3,22	0,2	7,8	0,0	197	99	1	1.0	1.0,0.847	1.0,1.0	-0.077
1138	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32051040	32052356	32051040	32051477	32052310	32052356	1138	1,0	1,0	0,0	1,1	197	99	1	1.0	0.334,NA	0.0,0.0	0.334
1139	"ENSG00000085465.11"	"OVGP1"	chr1	-	111963897	111964295	111963897	111964083	111964186	111964295	1139	0,5	1,1	1,1	2,1	197	99	0.292185145256	1.0	0.0,0.715	0.201,0.334	0.09
113	"ENSG00000101158.8"	"NELFCD"	chr20	+	57569696	57570186	57569696	57569891	57569963	57570186	113	0,217	1,4	96,111	0,0	170	99	0.0919522782317	1.0	0.0,0.969	1.0,1.0	-0.516
1141	"ENSG00000105373.14"	"GLTSCR2"	chr19	+	48259012	48259861	48259012	48259079	48259784	48259861	1141	35,21	326,388	23,17	325,233	197	99	0.741900501004	1.0	0.051,0.026	0.034,0.035	0.004
1142	"ENSG00000105373.14"	"GLTSCR2"	chr19	+	48259012	48259861	48259012	48259244	48259784	48259861	1142	40,26	11,10	34,22	9,5	197	99	0.562566197468	1.0	0.646,0.566	0.655,0.689	-0.066
1143	"ENSG00000166965.8"	"RCCD1"	chr15	+	91499841	91500733	91499841	91500130	91500342	91500733	1143	22,28	1,1	24,14	2,1	197	99	0.516163391127	1.0	0.917,0.934	0.858,0.876	0.058
1144	"ENSG00000110075.10"	"PPP6R3"	chr11	+	68325663	68326147	68325663	68325817	68326033	68326147	1144	30,19	0,1	25,16	1,1	197	99	0.536989190763	1.0	1.0,0.905	0.926,0.889	0.045
1147	"ENSG00000106346.7"	"USP42"	chr7	+	6178722	6179826	6178722	6178825	6179758	6179826	1147	4,2	63,51	8,5	56,43	197	99	0.0984737515781	1.0	0.031,0.019	0.067,0.055	-0.036
1148	"ENSG00000168268.6"	"NT5DC2"	chr3	-	52561632	52561947	52561632	52561734	52561844	52561947	1148	48,26	303,240	33,23	183,149	197	99	0.291352785967	1.0	0.074,0.052	0.083,0.072	-0.014
1149	"ENSG00000160961.7"	"ZNF333"	chr19	+	14827805	14828545	14827805	14827901	14828468	14828545	1149	0,0	11,7	2,1	8,7	197	99	0.362734593985	1.0	0.0,0.0	0.112,0.067	-0.089
114	"ENSG00000101158.8"	"NELFCD"	chr20	+	57563968	57564695	57563968	57564076	57564542	57564695	114	56,40	194,193	45,29	195,158	197	99	0.410993084948	1.0	0.127,0.094	0.104,0.084	0.017
1150	"ENSG00000054967.8"	"RELT"	chr11	+	73105280	73105779	73105280	73105362	73105521	73105779	1150	3,7	41,36	5,3	33,23	197	99	0.770379583525	1.0	0.035,0.089	0.071,0.062	-0.005
1151	"ENSG00000054967.8"	"RELT"	chr11	+	73105521	73106330	73105521	73105779	73106131	73106330	1151	1,1	8,8	2,1	10,6	197	99	0.800979519172	1.0	0.059,0.059	0.091,0.077	-0.025
1152	"ENSG00000182400.10"	"TRAPPC6B"	chr14	-	39627488	39628754	39627488	39627606	39628653	39628754	1152	3,1	3,4	3,2	3,3	197	99	0.700271020648	1.0	0.334,0.112	0.334,0.251	-0.069
1153	"ENSG00000182400.10"	"TRAPPC6B"	chr14	-	39627488	39628754	39627488	39627606	39628686	39628754	1153	6,4	52,47	8,6	50,32	197	99	0.260654191675	1.0	0.055,0.041	0.074,0.086	-0.032
1155	"ENSG00000100023.13"	"PPIL2"	chr22	+	22049225	22049785	22049225	22049359	22049682	22049785	1155	32,23	161,210	35,23	180,141	197	99	0.400856600678	1.0	0.091,0.052	0.089,0.076	-0.011
1156	"ENSG00000100023.13"	"PPIL2"	chr22	+	22049225	22049785	22049225	22049359	22049686	22049785	1156	189,222	3,14	211,166	9,6	197	99	0.901992103018	1.0	0.969,0.889	0.922,0.933	0.002
1157	"ENSG00000100023.13"	"PPIL2"	chr22	+	22049225	22049785	22049225	22049255	22049682	22049785	1157	326,390	2,2	350,283	2,1	197	99	0.946364076567	1.0	0.988,0.99	0.989,0.993	-0.002
1158	"ENSG00000130165.6"	"ELOF1"	chr19	-	11664442	11664896	11664442	11664616	11664825	11664896	1158	224,167	0,2	57,52	0,0	197	99	0.53226661206	1.0	1.0,0.977	1.0,1.0	-0.012
115	"ENSG00000101158.8"	"NELFCD"	chr20	+	57566366	57566977	57566366	57566501	57566775	57566977	115	11,107	1,0	31,30	1,0	197	99	0.782324611054	1.0	0.847,1.0	0.94,1.0	-0.046
1160	"ENSG00000117385.11"	"LEPRE1"	chr1	-	43212045	43213083	43212045	43212523	43212942	43213083	1160	18,19	24,31	18,12	20,16	197	99	0.531707075216	1.0	0.274,0.235	0.311,0.274	-0.038
1161	"ENSG00000117385.11"	"LEPRE1"	chr1	-	43220539	43220888	43220539	43220661	43220835	43220888	1161	55,63	47,61	58,45	56,40	197	99	0.93996974414	1.0	0.37,0.342	0.342,0.361	0.004
1162	"ENSG00000117385.11"	"LEPRE1"	chr1	-	43220539	43220888	43220539	43220661	43220767	43220888	1162	43,65	0,0	44,35	1,1	197	99	0.329464670189	1.0	1.0,1.0	0.957,0.946	0.048
1164	"ENSG00000141698.12"	"NT5C3B"	chr17	-	39991839	39992209	39991839	39991934	39992110	39992209	1164	3,10	4,6	4,4	4,3	197	99	0.751921744977	1.0	0.274,0.456	0.334,0.401	-0.003
1165	"ENSG00000089818.12"	"NECAP1"	chr12	+	8242531	8242895	8242531	8242632	8242790	8242895	1165	6,4	34,32	3,3	34,22	197	99	0.639971083044	1.0	0.081,0.059	0.042,0.064	0.017
1166	"ENSG00000149761.4"	"NUDT22"	chr11	+	63993761	63994604	63993761	63993899	63994106	63994604	1166	12,12	44,57	14,9	47,34	197	99	0.599815247117	1.0	0.121,0.096	0.13,0.117	-0.015
1169	"ENSG00000128159.7"	"TUBGCP6"	chr22	-	50656346	50656831	50656346	50656546	50656617	50656831	1169	16,23	8,31	13,9	14,9	169	99	0.732552352161	1.0	0.54,0.303	0.352,0.369	0.061
116	"ENSG00000101158.8"	"NELFCD"	chr20	+	57569696	57570188	57569696	57569879	57569980	57570188	116	437,457	16,13	370,279	15,10	197	99	0.536888301211	1.0	0.932,0.946	0.925,0.933	0.01
1172	"ENSG00000128159.7"	"TUBGCP6"	chr22	-	50657716	50658220	50657716	50657885	50658072	50658220	1172	9,2	8,12	7,3	8,7	197	99	0.740744938478	1.0	0.361,0.077	0.305,0.177	-0.022
