ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
213	"ENSG00000119318.8"	"RAD23B"	chr9	+	110062421	110062503	110064315	110064395	110045559	110045976	110068659	110068928	213	257,154	660,558	244,249	451,393	180	178	1.17132821088e-05	0.00531995976505	0.278,0.214	0.349,0.385	-0.121
5528	"ENSG00000137275.9"	"RIPK1"	chr6	+	3081212	3081350	3083318	3083547	3078012	3078169	3085492	3085642	5528	28,42	0,1	36,25	14,10	197	197	1.57359154153e-05	0.0065513861179	1.0,0.977	0.72,0.714	0.271
6580	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179043869	179043959	179047892	179048398	179043126	179043219	179050037	179050165	6580	178,280	578,898	131,112	211,221	197	188	1.95474450903e-05	0.00751223351316	0.227,0.229	0.372,0.326	-0.121
4299	"ENSG00000062716.6"	"VMP1"	chr17	+	57816197	57816308	57842331	57842499	57814813	57814904	57851114	57851246	4299	41,12	105,73	51,44	54,52	197	197	2.70624022023e-05	0.00965741152876	0.281,0.141	0.486,0.458	-0.261
822	"ENSG00000126698.6"	"DNAJC8"	chr1	-	28531768	28531860	28537081	28537148	28530257	28530333	28541450	28541507	822	175,270	181,302	190,206	370,378	165	190	3.76709572524e-05	0.0125469401622	0.527,0.507	0.372,0.386	0.138
953	"ENSG00000100084.10"	"HIRA"	chr22	-	19346858	19347007	19348759	19348864	19344412	19344574	19349249	19349454	953	312,462	117,242	191,205	154,168	197	197	5.9036942419e-05	0.0184342852703	0.727,0.656	0.554,0.55	0.139
3781	"ENSG00000147677.6"	"EIF3H"	chr8	-	117661044	117661165	117668094	117668244	117658819	117658842	117669453	117670014	3781	434,49	1166,586	387,522	872,960	197	197	7.97588893794e-05	0.0234397300788	0.271,0.077	0.307,0.352	-0.155
1878	"ENSG00000047849.17"	"MAP4"	chr3	-	47956306	47956429	47957440	47958664	47918906	47919013	47960208	47960331	1878	134,1	464,202	92,108	267,269	197	197	8.78804665342e-05	0.0243917117114	0.224,0.005	0.256,0.286	-0.157
962	"ENSG00000198818.5"	"SFT2D1"	chr6	-	166736344	166736374	166741763	166741845	166733643	166733744	166742994	166743077	962	129,221	58,113	95,103	89,99	180	128	9.76343458577e-05	0.0256726943108	0.613,0.582	0.432,0.425	0.169
301	"ENSG00000159023.14"	"EPB41"	chr1	+	29386933	29386996	29391493	29391670	29379615	29379824	29424318	29424447	301	22,33	398,616	20,15	119,128	161	197	0.000113473167975	0.0283455973602	0.063,0.062	0.171,0.125	-0.086
6397	"ENSG00000117543.15"	"DPH5"	chr1	-	101479265	101479374	101490864	101491022	101467022	101467143	101491238	101491328	6397	39,48	66,122	26,23	20,15	197	197	0.000129452673304	0.0307974074203	0.371,0.282	0.565,0.605	-0.258
1439	"ENSG00000100097.7"	"LGALS1"	chr22	+	38072992	38073072	38074489	38074661	38071694	38071718	38075609	38075647	1439	564,987	348,521	505,609	174,223	178	197	0.000165909468835	0.0376765321045	0.642,0.677	0.763,0.751	-0.098
6496	"ENSG00000204469.8"	"PRRC2A"	chr6	+	31590466	31590678	31591508	31591686	31588501	31588635	31592037	31592137	6496	67,17	1140,497	67,61	696,613	197	197	0.00017937248383	0.0389628230093	0.056,0.033	0.088,0.091	-0.045
1944	"ENSG00000167770.7"	"OTUB1"	chr11	+	63755808	63755870	63756125	63756224	63753476	63753986	63764001	63764120	1944	22,39	96,193	36,39	72,84	160	197	0.000260088688096	0.0541417952387	0.22,0.199	0.381,0.364	-0.163
2136	"ENSG00000105053.6"	"VRK3"	chr19	-	50512492	50512642	50519280	50519420	50510825	50511083	50523841	50523904	2136	74,134	159,284	117,106	133,133	197	197	0.000299199702622	0.0576357984387	0.318,0.321	0.468,0.444	-0.137
4900	"ENSG00000153339.9"	"TRAPPC8"	chr18	-	29435622	29435770	29437502	29437945	29433811	29433908	29444589	29444744	4900	16,0	147,131	15,18	72,98	197	197	0.000299946108768	0.0576357984387	0.098,0.0	0.172,0.155	-0.114
3609	"ENSG00000136636.8"	"KCTD3"	chr1	+	215753251	215753342	215759837	215760028	215752342	215752480	215768697	215768813	3609	15,4	86,20	19,23	33,37	189	197	0.000312706844543	0.0578623479754	0.154,0.173	0.375,0.393	-0.221
4334	"ENSG00000089053.8"	"ANAPC5"	chr12	-	121775093	121775195	121779805	121779872	121773319	121773526	121783641	121783834	4334	134,205	292,462	116,104	143,142	165	197	0.000342863272114	0.0610622882555	0.354,0.346	0.492,0.467	-0.13
4762	"ENSG00000114302.11"	"PRKAR2A"	chr3	-	48820418	48820525	48827976	48828060	48810387	48810541	48831429	48831446	4762	15,4	85,81	20,24	57,62	182	197	0.000354444827744	0.0610622882555	0.16,0.051	0.275,0.295	-0.18
2014	"ENSG00000115685.10"	"PPP1R7"	chr2	+	242097898	242097964	242099746	242099909	242097221	242097277	242102699	242102816	2014	16,18	104,153	16,21	44,58	164	197	0.000393227580785	0.0654854997867	0.156,0.124	0.304,0.303	-0.163
2426	"ENSG00000059378.8"	"PARP12"	chr7	-	139734034	139734131	139746683	139746807	139728412	139728488	139754461	139754563	2426	7,0	34,17	13,14	17,16	197	195	0.000508106254523	0.0803749019835	0.169,0.0	0.431,0.464	-0.363
3894	"ENSG00000126261.8"	"UBA2"	chr19	+	34922765	34922836	34924252	34924317	34921480	34921564	34925772	34925873	3894	255,342	216,344	251,273	150,152	169	163	0.000515525469764	0.0803749019835	0.532,0.49	0.617,0.634	-0.114
964	"ENSG00000198818.5"	"SFT2D1"	chr6	-	166736344	166738083	166741763	166741845	166733347	166733744	166742994	166743077	964	129,221	60,119	85,103	78,96	180	197	0.000530899072349	0.0803749019835	0.702,0.67	0.544,0.54	0.144
6487	"ENSG00000130741.6"	"EIF2S3"	chrX	+	24084114	24084209	24086080	24086225	24082317	24082452	24089674	24089844	6487	388,549	663,1194	470,364	393,512	193	197	0.000778542741019	0.114399986298	0.374,0.319	0.55,0.421	-0.139
6578	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179045145	179045324	179047892	179048398	179044989	179045061	179050037	179050165	6578	178,280	517,699	248,195	419,350	197	197	0.000850526750869	0.121406618495	0.256,0.286	0.372,0.358	-0.094
3575	"ENSG00000090989.13"	"EXOC1"	chr4	+	56757480	56757588	56758710	56758877	56756388	56756552	56759717	56759807	3575	58,68	9,7	23,23	11,10	197	197	0.000959983731072	0.129623749201	0.866,0.907	0.676,0.697	0.2
5113	"ENSG00000101040.15"	"ZMYND8"	chr20	-	45867501	45867882	45874751	45875261	45865069	45865260	45878030	45878183	5113	129,105	87,83	154,137	67,50	197	197	0.000952920262964	0.129623749201	0.597,0.559	0.697,0.733	-0.137
703	"ENSG00000171475.9"	"WIPF2"	chr17	+	38416786	38416919	38420741	38421398	38412642	38412774	38430041	38430251	703	15,0	23,12	36,29	15,10	197	197	0.000989194312685	0.130053020689	0.395,0.0	0.706,0.744	-0.527
2222	"ENSG00000077809.8"	"GTF2I"	chr7	+	74125362	74125440	74131213	74131270	74120720	74120764	74143123	74143234	2222	111,132	36,41	67,67	41,45	176	155	0.00109580838557	0.140375863957	0.731,0.739	0.59,0.567	0.156
1143	"ENSG00000163041.5"	"H3F3A"	chr1	+	226252029	226252180	226253435	226253510	226250435	226250512	226259051	226259224	1143	652,1051	1174,1687	496,496	594,574	197	173	0.00127613247919	0.155501411367	0.328,0.354	0.423,0.431	-0.086
2805	"ENSG00000239672.3"	"NME1"	chr17	+	49237340	49237442	49238520	49238633	49233011	49233141	49239088	49239422	2805	627,110	508,0	234,316	259,307	197	197	0.00124519422722	0.155501411367	0.552,1.0	0.475,0.507	0.285
1178	"ENSG00000198431.11"	"TXNRD1"	chr12	+	104714868	104715094	104719114	104719207	104713247	104713363	104720124	104720201	1178	80,58	308,332	76,101	217,274	197	191	0.0016697681583	0.194381410285	0.201,0.145	0.253,0.263	-0.085
193	"ENSG00000047410.9"	"TPR"	chr1	-	186294895	186294986	186295235	186295367	186292817	186293002	186296591	186296792	193	215,0	305,61	125,194	134,162	197	189	0.00169321614959	0.194381410285	0.403,0.0	0.472,0.535	-0.302
6240	"ENSG00000147684.3"	"NDUFB9"	chr8	+	125555360	125555520	125559240	125559354	125551384	125551528	125562001	125562219	6240	77,28	725,225	25,24	400,445	197	197	0.00171192595127	0.194381410285	0.096,0.111	0.059,0.051	0.049
1792	"ENSG00000130830.10"	"MPP1"	chrX	-	154014478	154014675	154018228	154018297	154013325	154013432	154019257	154019343	1792	526,7	1515,207	439,354	1091,868	167	197	0.00179952336872	0.199787083336	0.291,0.038	0.322,0.325	-0.159
4772	"ENSG00000124783.8"	"SSR1"	chr6	-	7301542	7301601	7301773	7301805	7298979	7299056	7303782	7303870	4772	40,66	62,53	26,28	66,80	130	157	0.00198971683494	0.21610055016	0.438,0.601	0.322,0.297	0.21
1513	"ENSG00000116679.11"	"IVNS1ABP"	chr1	-	185276620	185276794	185277931	185278007	185276145	185276271	185278134	185278304	1513	26,56	88,136	54,53	74,81	174	197	0.00211083600531	0.224377376224	0.251,0.318	0.452,0.426	-0.155
433	"ENSG00000137309.15"	"HMGA1"	chr6	+	34208513	34208692	34210488	34210572	34204980	34205094	34211244	34211295	433	398,727	1776,2654	304,375	847,1073	197	182	0.0022079252669	0.22980822153	0.172,0.202	0.249,0.244	-0.059
1958	"ENSG00000105364.9"	"MRPL4"	chr19	+	10367383	10367501	10368897	10369004	10365264	10365316	10369088	10369198	1958	12,19	255,390	18,19	153,185	197	197	0.00232704282921	0.230513861251	0.045,0.046	0.105,0.093	-0.054
254	"ENSG00000156171.10"	"DRAM2"	chr1	-	111668848	111668916	111674045	111674190	111667363	111667503	111680144	111680208	254	83,22	23,0	41,38	26,28	197	166	0.00230868992454	0.230513861251	0.753,1.0	0.571,0.533	0.325
5592	"ENSG00000143106.8"	"PSMA5"	chr1	-	109954698	109954806	109955689	109955757	109954498	109954557	109957858	109957985	5592	219,310	346,571	187,187	222,204	166	197	0.00235312388387	0.230513861251	0.429,0.392	0.5,0.521	-0.1
4103	"ENSG00000064961.14"	"HMG20B"	chr19	+	3575537	3575658	3576258	3576305	3574380	3574584	3576550	3576623	4103	146,156	219,203	173,137	152,122	197	145	0.00241008401652	0.231553456664	0.329,0.361	0.456,0.453	-0.11
4277	"ENSG00000018510.8"	"AGPS"	chr2	+	178301707	178301782	178305692	178305764	178301491	178301612	178307134	178307214	4277	39,44	74,117	51,58	63,67	173	170	0.0025202528634	0.237569496331	0.341,0.27	0.443,0.46	-0.146
1279	"ENSG00000204842.10"	"ATXN2"	chr12	-	111953957	111954167	111956052	111956231	111951160	111951343	111957682	111957880	1279	90,23	24,6	46,44	29,28	197	197	0.00274000221963	0.24444734088	0.789,0.793	0.613,0.611	0.179
1303	"ENSG00000182944.13"	"EWSR1"	chr22	+	29684594	29684775	29687553	29687588	29682911	29683123	29688125	29688158	1303	282,389	60,64	226,282	73,83	197	133	0.00270540820432	0.24444734088	0.76,0.804	0.676,0.696	0.096
4343	"ENSG00000005483.15"	"KMT2E"	chr7	+	104750726	104750815	104750923	104751049	104749388	104749675	104751217	104751315	4343	40,53	82,147	48,51	59,70	187	197	0.00266644848302	0.24444734088	0.339,0.275	0.462,0.434	-0.141
4662	"ENSG00000090686.11"	"USP48"	chr1	-	22073559	22073642	22077999	22078108	22062938	22063118	22079019	22079144	4662	111,161	98,140	140,154	225,187	197	181	0.00282097329595	0.247255834852	0.51,0.514	0.364,0.431	0.115
1927	"ENSG00000176978.9"	"DPP7"	chr9	-	140007657	140007739	140007808	140007948	140007404	140007571	140008316	140008480	1927	4,19	199,321	12,14	104,134	197	180	0.00312062529716	0.263465103211	0.018,0.051	0.095,0.087	-0.057
4485	"ENSG00000102145.9"	"GATA1"	chrX	+	48649497	48649736	48650250	48650309	48644961	48645053	48650387	48650628	4485	179,418	8,13	21,23	3,3	197	157	0.00316411252855	0.263465103211	0.947,0.962	0.848,0.859	0.101
5206	"ENSG00000134283.13"	"PPHLN1"	chr12	+	42748962	42749024	42768664	42768876	42729684	42729776	42781257	42781337	5206	42,20	32,13	42,36	12,9	160	197	0.00313475075199	0.263465103211	0.618,0.654	0.812,0.831	-0.185
4238	"ENSG00000111142.9"	"METAP2"	chr12	+	95876990	95877056	95879654	95879757	95869849	95869954	95887831	95887993	4238	972,568	254,141	506,606	197,218	164	197	0.00324674160333	0.26591345984	0.821,0.829	0.755,0.77	0.063
3715	"ENSG00000124164.11"	"VAPB"	chr20	+	56993266	56993419	57009657	57009761	56964177	56964573	57014000	57014081	3715	92,41	91,25	50,56	88,88	197	197	0.00355991449992	0.283741655172	0.503,0.621	0.362,0.389	0.187
57	"ENSG00000137177.14"	"KIF13A"	chr6	-	17790102	17790141	17794479	17794626	17788006	17788106	17794802	17794935	57	56,26	3,2	30,27	9,8	197	137	0.00357800726098	0.283741655172	0.928,0.9	0.699,0.701	0.214
6160	"ENSG00000017260.15"	"ATP2C1"	chr3	+	130686173	130686263	130688135	130688240	130685988	130686084	130694175	130694332	6160	116,22	39,6	41,51	30,34	188	197	0.00377369119306	0.294583768758	0.757,0.793	0.589,0.611	0.175
6407	"ENSG00000078668.9"	"VDAC3"	chr8	+	42256229	42256382	42257168	42257221	42252601	42252651	42259305	42259533	6407	168,0	181,58	96,136	82,118	197	151	0.00398928542126	0.30662261484	0.416,0.0	0.473,0.469	-0.263
610	"ENSG00000180198.11"	"RCC1"	chr1	+	28862382	28862538	28862773	28862893	28861769	28861892	28863258	28863411	610	148,178	121,140	58,71	74,97	197	197	0.0042489717552	0.321634286197	0.55,0.56	0.439,0.423	0.124
3725	"ENSG00000103005.7"	"USB1"	chr16	+	58048176	58048230	58051237	58051343	58043832	58044016	58052875	58052959	3725	22,29	33,60	38,40	32,34	152	197	0.00479186326752	0.332502067841	0.464,0.385	0.606,0.604	-0.18
3932	"ENSG00000140374.11"	"ETFA"	chr15	-	76523673	76523739	76566752	76566835	76518189	76518270	76576097	76576166	3932	109,88	110,95	75,77	123,137	181	164	0.00471562654199	0.332502067841	0.473,0.456	0.356,0.337	0.118
4697	"ENSG00000115414.14"	"FN1"	chr2	-	216232585	216232750	216235016	216235155	216230227	216230353	216236631	216236738	4697	50,31	43,14	24,11	41,20	197	197	0.00469596274822	0.332502067841	0.538,0.689	0.369,0.355	0.251
5151	"ENSG00000123485.7"	"HJURP"	chr2	-	234756042	234756107	234758408	234758505	234754373	234754466	234761210	234761266	5151	89,87	38,28	68,43	47,33	195	163	0.00446428582023	0.332502067841	0.662,0.722	0.547,0.521	0.158
5753	"ENSG00000161526.10"	"SAP30BP"	chr17	+	73698559	73698651	73699887	73699939	73695862	73695951	73700835	73700894	5753	35,41	126,163	20,17	34,34	190	150	0.0047795851846	0.332502067841	0.18,0.166	0.317,0.283	-0.127
611	"ENSG00000180198.11"	"RCC1"	chr1	+	28861769	28861892	28862382	28862538	28861561	28861658	28862773	28862893	611	55,87	316,412	14,26	41,68	197	197	0.00479015130813	0.332502067841	0.148,0.174	0.255,0.277	-0.105
1416	"ENSG00000086061.11"	"DNAJA1"	chr9	+	33026472	33026614	33030437	33030665	33025272	33025381	33034213	33034328	1416	102,182	323,427	39,31	59,50	197	197	0.00529227387461	0.36219452435	0.24,0.299	0.398,0.383	-0.121
4797	"ENSG00000266967.2"	"AARSD1"	chr17	-	41107858	41107989	41108220	41108337	41107106	41107384	41108420	41108542	4797	183,123	21,0	105,100	19,14	197	197	0.00560608411132	0.376845681363	0.897,1.0	0.847,0.877	0.087
5512	"ENSG00000223482.3"	"NUTM2A-AS1"	chr10	-	89048198	89048252	89086386	89086429	89005871	89005969	89096542	89096646	5512	43,72	63,88	33,33	24,19	141	152	0.00573264046909	0.376845681363	0.424,0.469	0.597,0.652	-0.178
5665	"ENSG00000141084.6"	"RANBP10"	chr16	-	67778190	67778358	67805936	67805989	67771915	67771938	67839330	67839442	5665	1,0	12,6	9,6	10,7	151	197	0.00571167689481	0.376845681363	0.098,0.0	0.54,0.528	-0.485
1924	"ENSG00000166794.4"	"PPIB"	chr15	-	64452302	64452336	64454239	64454353	64448923	64449108	64455050	64455404	1924	302,491	289,402	289,269	182,162	197	132	0.00715340752522	0.464135376571	0.412,0.45	0.515,0.527	-0.09
1412	"ENSG00000100650.11"	"SRSF5"	chr14	+	70235898	70237257	70237711	70237822	70235514	70235613	70237910	70238359	1412	266,347	446,603	269,268	318,338	197	197	0.00813289063902	0.507899020407	0.374,0.365	0.458,0.442	-0.081
5944	"ENSG00000115107.15"	"STEAP3"	chr2	+	119988195	119988610	119996938	119997006	119981406	119981464	120003064	120003564	5944	5,0	7,4	13,11	3,2	197	166	0.00802049876887	0.507899020407	0.376,0.0	0.785,0.823	-0.616
935	"ENSG00000102103.11"	"PQBP1"	chrX	+	48755774	48755859	48758466	48758578	48755194	48755365	48759206	48759319	935	33,63	208,394	26,26	99,86	183	197	0.00810581003645	0.507899020407	0.146,0.147	0.22,0.246	-0.086
2466	"ENSG00000164828.13"	"SUN1"	chr7	+	889156	889240	889460	889670	888054	888252	891020	891119	2466	28,0	18,17	34,35	9,8	182	197	0.00843052505525	0.517556861241	0.627,0.0	0.804,0.826	-0.501
6560	"ENSG00000125991.14"	"ERGIC3"	chr20	+	34130071	34130142	34130261	34130349	34129830	34129934	34130570	34133155	6560	247,118	187,88	187,156	217,167	169	186	0.008494728307	0.517556861241	0.592,0.596	0.487,0.507	0.097
1510	"ENSG00000125450.6"	"NUP85"	chr17	+	73221197	73221332	73221436	73221559	73214279	73214401	73221792	73221924	1510	27,37	96,204	21,25	50,62	197	197	0.00873543760514	0.522589014293	0.22,0.154	0.296,0.287	-0.104
4058	"ENSG00000204394.8"	"VARS"	chr6	-	31749165	31749383	31749467	31749538	31748795	31748900	31749623	31749729	4058	177,117	11,5	179,151	2,2	169	197	0.00878652465985	0.522589014293	0.949,0.965	0.991,0.989	-0.033
214	"ENSG00000122591.7"	"FAM126A"	chr7	-	22999874	23000034	23004033	23004150	22980877	22985782	23015828	23015924	214	23,0	98,21	13,21	28,41	197	197	0.00916881154197	0.528577579005	0.19,0.0	0.317,0.339	-0.233
2973	"ENSG00000143621.12"	"ILF2"	chr1	-	153635180	153635271	153635494	153635609	153634511	153635032	153635690	153635752	2973	338,444	452,695	275,304	541,615	197	189	0.00931041372146	0.528577579005	0.418,0.38	0.328,0.322	0.074
4853	"ENSG00000082898.12"	"XPO1"	chr2	-	61753554	61753656	61760906	61761038	61749745	61749818	61764696	61764722	4853	301,263	379,425	231,193	435,410	197	197	0.00913352064132	0.528577579005	0.443,0.382	0.347,0.32	0.079
750	"ENSG00000140612.9"	"SEC11A"	chr15	-	85230855	85231005	85234765	85234875	85213955	85214013	85259255	85259294	750	388,391	26,44	430,382	23,17	197	197	0.00927306460407	0.528577579005	0.937,0.899	0.949,0.957	-0.035
1970	"ENSG00000130695.9"	"CEP85"	chr1	+	26570656	26570809	26581661	26582356	26566252	26566329	26584087	26584221	1970	87,53	92,0	60,52	79,70	197	197	0.00943945875025	0.529882426025	0.486,1.0	0.432,0.426	0.314
1904	"ENSG00000130402.7"	"ACTN4"	chr19	+	39200896	39200982	39201915	39202001	39200034	39200116	39205108	39205201	1904	578,617	71,33	472,363	26,15	184	184	0.0095638460089	0.53089971845	0.891,0.949	0.948,0.96	-0.034
2793	"ENSG00000075303.8"	"SLC25A40"	chr7	-	87483518	87483625	87485606	87485666	87479195	87479263	87487945	87488066	2793	59,93	43,54	50,57	57,62	158	197	0.00969306948614	0.532160166514	0.631,0.682	0.522,0.534	0.129
5234	"ENSG00000161036.6"	"LRWD1"	chr7	+	102107785	102107926	102108165	102108270	102106600	102106717	102108508	102108634	5234	46,16	66,32	54,43	47,34	197	197	0.0100027309285	0.537674058861	0.411,0.333	0.535,0.558	-0.174
628	"ENSG00000234857.2"	"HNRNPUL2-BSCL2"	chr11	-	62483335	62483409	62484460	62484661	62482971	62483079	62487494	62487663	628	345,552	245,418	109,91	52,43	197	172	0.0100087444904	0.537674058861	0.551,0.536	0.647,0.649	-0.104
432	"ENSG00000137309.15"	"HMGA1"	chr6	+	34204980	34205094	34208521	34208692	34204649	34204740	34210488	34210572	432	92,254	2720,4988	49,70	878,1008	197	197	0.0102697097658	0.545824148829	0.033,0.048	0.053,0.065	-0.018
2560	"ENSG00000205581.6"	"HMGN1"	chr21	-	40719304	40719409	40719841	40719878	40717071	40717200	40720217	40720265	2560	4,1	165,176	8,6	135,107	135	197	0.0105365894665	0.548341676819	0.034,0.008	0.08,0.076	-0.057
3576	"ENSG00000090989.13"	"EXOC1"	chr4	+	56757480	56757588	56758800	56758877	56756388	56756552	56759717	56759946	3576	58,68	11,12	44,51	18,21	197	175	0.0104288589703	0.548341676819	0.824,0.834	0.685,0.683	0.145
4839	"ENSG00000100034.9"	"PPM1F"	chr22	-	22293903	22294048	22300214	22300480	22288395	22288598	22307163	22307203	4839	47,94	141,243	38,48	61,82	197	197	0.0106784199893	0.549993672851	0.25,0.279	0.384,0.369	-0.112
2332	"ENSG00000102763.11"	"VWA8"	chr13	-	42461332	42461497	42465555	42465723	42460916	42460966	42481721	42481832	2332	7,4	73,41	10,9	36,31	197	197	0.0109482175566	0.556572261608	0.088,0.089	0.217,0.225	-0.133
2568	"ENSG00000205581.6"	"HMGN1"	chr21	-	40719372	40719409	40719841	40719878	40717071	40717200	40720217	40720265	2568	4,3	33,33	8,6	19,16	135	135	0.011028953943	0.556572261608	0.108,0.083	0.296,0.273	-0.189
3014	"ENSG00000003400.10"	"CASP10"	chr2	+	202068452	202068489	202072797	202072906	202060564	202060671	202073792	202074285	3014	0,3	25,37	6,4	19,16	135	197	0.0112676625934	0.557537533092	0.0,0.106	0.315,0.267	-0.238
4685	"ENSG00000178104.15"	"PDE4DIP"	chr1	-	144867920	144868172	144873876	144874029	144866591	144866723	144874680	144874904	4685	87,196	27,52	35,47	21,22	197	197	0.0112712751886	0.557537533092	0.763,0.79	0.625,0.681	0.123
6499	"ENSG00000204469.8"	"PRRC2A"	chr6	+	31590503	31590678	31591508	31591686	31588496	31588635	31592037	31592137	6499	78,16	1140,497	64,50	696,613	197	197	0.0114140684306	0.559065547836	0.064,0.031	0.084,0.075	-0.032
1865	"ENSG00000111481.5"	"COPZ1"	chr12	+	54734330	54734399	54739243	54739299	54718910	54718965	54741550	54741628	1865	383,0	219,142	131,190	100,146	167	154	0.0116341303379	0.564311797749	0.617,0.0	0.547,0.545	-0.238
2166	"ENSG00000100983.5"	"GSS"	chr20	-	33529515	33529632	33530290	33530430	33524745	33524826	33530733	33530809	2166	294,155	161,71	168,154	123,120	197	197	0.0121267181026	0.577000796577	0.646,0.686	0.577,0.562	0.097
5941	"ENSG00000176393.6"	"RNPEP"	chr1	+	201958510	201958659	201965274	201965537	201958031	201958172	201966446	201966682	5941	65,102	3,1	77,55	9,5	197	197	0.0120242492297	0.577000796577	0.956,0.99	0.895,0.917	0.067
4800	"ENSG00000160746.8"	"ANO10"	chr3	-	43607144	43607219	43616300	43616356	43602711	43602894	43618183	43618753	4800	38,46	45,61	33,24	76,55	154	173	0.0124611268578	0.587318771524	0.487,0.459	0.328,0.329	0.144
305	"ENSG00000140264.15"	"SERF2"	chr15	+	44093329	44093385	44093715	44093767	44092620	44092982	44093908	44094767	305	466,698	220,331	362,304	104,119	154	150	0.0128268363189	0.593359946752	0.674,0.673	0.772,0.713	-0.069
4745	"ENSG00000096746.13"	"HNRNPH3"	chr10	+	70096955	70097090	70098259	70098426	70091878	70091973	70098896	70098983	4745	325,31	11,10	128,185	3,4	197	197	0.0127560371235	0.593359946752	0.967,0.756	0.977,0.979	-0.117
1866	"ENSG00000111481.5"	"COPZ1"	chr12	+	54734330	54734399	54735989	54736071	54718922	54718965	54741550	54741628	1866	516,133	27,10	327,356	10,8	167	180	0.0130684227917	0.598989360251	0.954,0.935	0.972,0.98	-0.031
431	"ENSG00000137309.15"	"HMGA1"	chr6	+	34204980	34205094	34208513	34208659	34204649	34204740	34210488	34210572	431	92,254	1227,2178	81,98	617,682	197	197	0.0135122797145	0.608174319402	0.07,0.104	0.116,0.126	-0.034
4923	"ENSG00000131051.16"	"RBM39"	chr20	-	34327314	34327469	34328446	34328519	34326889	34326939	34328745	34328809	4923	74,77	0,2	66,46	6,4	171	197	0.0135039280486	0.608174319402	1.0,0.978	0.927,0.93	0.06
6015	"ENSG00000089154.6"	"GCN1L1"	chr12	-	120585970	120586150	120587409	120587524	120584855	120585076	120587725	120587847	6015	60,101	210,321	52,51	104,115	197	197	0.0136434532731	0.608595469218	0.222,0.239	0.333,0.307	-0.09
